experiment_id,run_label,target_rps,jobs_submitted,jobs_completed,jobs_failed,jobs_timed_out,success_rate,failed_rate,first_submission_time,last_submission_time,first_completion_time,last_completion_time,submission_duration_seconds,completion_makespan_seconds,completed_throughput_rps,avg_enqueue_time_ms,p50_enqueue_time_ms,p95_enqueue_time_ms,avg_client_end_to_end_time_ms,p50_client_end_to_end_time_ms,p95_client_end_to_end_time_ms,avg_execution_time_ms,p50_execution_time_ms,p95_execution_time_ms,avg_server_end_to_end_time_ms,p50_server_end_to_end_time_ms,p95_server_end_to_end_time_ms,min_vm_count_observed,max_vm_count_observed,avg_vm_count_observed,worker_count_per_vm
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,1,120,119,1,0,0.992,0.008,2026-06-09T12:15:05.072139Z,2026-06-09T12:17:04.073554Z,2026-06-09T12:17:04.455328Z,2026-06-09T12:18:17.936432Z,120.001,192.864,0.617,379.267,125.0,141.0,83560.61,81722.747,113824.479,3310.597,2304.0,11972.6,55034.941,60404.0,85665.8,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,10,120,120,0,0,1.0,0.0,2026-06-09T12:19:18.293524Z,2026-06-09T12:19:30.218316Z,2026-06-09T12:19:30.662484Z,2026-06-09T12:20:31.676208Z,12.025,73.383,1.635,138.767,140.0,172.0,34651.557,33195.19,59383.715,3208.783,2504.0,8023.55,33232.267,32208.5,58838.35,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,50,120,120,0,0,1.0,0.0,2026-06-09T12:21:32.007110Z,2026-06-09T12:21:34.374379Z,2026-06-09T12:21:34.840480Z,2026-06-09T12:22:45.962970Z,2.387,73.956,1.623,144.675,140.0,204.75,36555.68,37244.549,62344.39,3112.667,2033.5,9979.35,35681.858,36165.0,62159.3,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,100,120,120,0,0,1.0,0.0,2026-06-09T12:23:46.322497Z,2026-06-09T12:23:47.510056Z,2026-06-09T12:23:47.919734Z,2026-06-09T12:24:39.789080Z,1.198,53.467,2.244,150.925,141.0,219.0,15263.257,13191.486,41109.336,1972.225,1302.0,5503.0,12013.742,11778.0,22547.45,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,200,120,120,0,0,1.0,0.0,2026-06-09T12:25:40.138866Z,2026-06-09T12:25:40.733408Z,2026-06-09T12:25:41.243380Z,2026-06-09T12:26:08.284743Z,0.6,28.146,4.264,143.108,141.0,172.75,13056.217,12105.504,25326.698,2218.575,1431.0,7783.4,12289.775,11497.0,25000.45,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,300,120,120,0,0,1.0,0.0,2026-06-09T12:27:08.658573Z,2026-06-09T12:27:09.115515Z,2026-06-09T12:27:10.563516Z,2026-06-09T12:27:42.459630Z,0.46,33.801,3.55,381.817,226.5,968.8,13711.236,13271.067,24159.591,2074.292,1361.5,5790.15,12484.175,12767.5,22475.85,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,400,120,119,1,0,0.992,0.008,2026-06-09T12:28:42.858655Z,2026-06-09T12:28:43.248657Z,2026-06-09T12:29:13.411607Z,2026-06-09T12:29:44.488493Z,0.393,61.63,1.931,702.433,297.0,1171.0,30866.191,30571.857,30833.954,1799.294,1194.0,5313.3,10282.471,10815.0,19581.7,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,500,120,120,0,0,1.0,0.0,2026-06-09T12:30:44.887399Z,2026-06-09T12:30:45.180336Z,2026-06-09T12:30:47.046235Z,2026-06-09T12:31:22.512546Z,0.295,37.625,3.189,410.817,344.0,875.0,12176.872,11417.255,22125.475,1692.692,1097.5,5162.75,10616.225,10487.0,20541.3,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,600,120,120,0,0,1.0,0.0,2026-06-09T12:32:22.925194Z,2026-06-09T12:32:23.150194Z,2026-06-09T12:32:24.967411Z,2026-06-09T12:32:51.788217Z,0.227,28.863,4.158,400.65,351.5,781.8,14726.754,15125.922,25126.344,2071.133,1341.0,5909.7,13522.525,14205.5,24012.65,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,700,120,120,0,0,1.0,0.0,2026-06-09T12:33:52.199067Z,2026-06-09T12:33:52.400583Z,2026-06-09T12:33:54.820192Z,2026-06-09T12:34:22.040760Z,0.203,29.842,4.021,382.475,336.5,625.0,15461.209,16285.856,25345.79,2184.75,1440.0,7148.05,14414.033,15349.5,24770.4,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,800,120,120,0,0,1.0,0.0,2026-06-09T12:35:22.473914Z,2026-06-09T12:35:22.680917Z,2026-06-09T12:35:27.995879Z,2026-06-09T12:35:50.931868Z,0.208,28.458,4.217,470.808,406.0,657.75,13686.155,13383.454,23702.278,2010.875,1257.0,6851.0,12368.233,12516.5,22173.4,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,900,120,120,0,0,1.0,0.0,2026-06-09T12:36:51.366281Z,2026-06-09T12:36:51.553284Z,2026-06-09T12:36:53.444832Z,2026-06-09T12:37:28.643531Z,0.188,37.277,3.219,428.167,382.5,672.0,15294.021,16008.796,24956.292,2207.775,1239.5,7903.9,14203.933,15403.5,24356.25,,,,2
4b6f4aee-54a4-45df-8b95-3d61f3cbf035,workload-20260609T121504519314Z,1000,120,120,0,0,1.0,0.0,2026-06-09T12:38:29.081584Z,2026-06-09T12:38:29.261591Z,2026-06-09T12:38:31.092671Z,2026-06-09T12:38:57.902780Z,0.181,28.821,4.164,433.983,406.0,656.05,13499.888,14122.388,22985.186,1922.942,1200.5,6786.05,12302.858,13271.5,21766.75,,,,2
