experiment_id,run_label,target_rps,jobs_submitted,jobs_completed,jobs_failed,jobs_timed_out,success_rate,failed_rate,first_submission_time,last_submission_time,first_completion_time,last_completion_time,submission_duration_seconds,completion_makespan_seconds,completed_throughput_rps,avg_enqueue_time_ms,p50_enqueue_time_ms,p95_enqueue_time_ms,avg_client_end_to_end_time_ms,p50_client_end_to_end_time_ms,p95_client_end_to_end_time_ms,avg_execution_time_ms,p50_execution_time_ms,p95_execution_time_ms,avg_server_end_to_end_time_ms,p50_server_end_to_end_time_ms,p95_server_end_to_end_time_ms,min_vm_count_observed,max_vm_count_observed,avg_vm_count_observed,worker_count_per_vm
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,1,120,120,0,0,1.0,0.0,2026-06-09T13:39:21.033954Z,2026-06-09T13:41:20.048056Z,2026-06-09T13:41:20.450255Z,2026-06-09T13:42:11.475567Z,120.014,170.442,0.704,165.942,140.0,266.6,79123.391,74122.174,113635.193,2878.058,2027.5,10712.7,52539.975,58743.0,77475.5,1,2,1.667,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,10,120,120,0,0,1.0,0.0,2026-06-09T13:43:11.780788Z,2026-06-09T13:43:23.691696Z,2026-06-09T13:43:24.054398Z,2026-06-09T13:44:30.482192Z,12.011,78.701,1.525,132.417,125.0,156.0,36495.83,35390.212,64195.189,2193.8,1285.0,7083.45,34871.917,34895.5,63502.75,2,2,2.0,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,50,120,120,0,0,1.0,0.0,2026-06-09T13:45:30.833046Z,2026-06-09T13:45:33.224847Z,2026-06-09T13:45:33.651196Z,2026-06-09T13:46:43.798083Z,2.412,72.965,1.645,138.533,140.0,172.0,36943.794,35898.128,68341.153,2032.742,1447.0,6075.85,36133.567,35093.5,67637.85,2,3,2.222,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,100,120,120,0,0,1.0,0.0,2026-06-09T13:47:44.101169Z,2026-06-09T13:47:45.293732Z,2026-06-09T13:47:45.843732Z,2026-06-09T13:48:30.190685Z,1.203,46.09,2.604,148.15,141.0,188.75,21691.647,22376.617,40347.91,1881.075,1228.0,6116.1,20977.108,21665.5,39430.25,4,4,4.0,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,200,120,120,0,0,1.0,0.0,2026-06-09T13:49:30.536414Z,2026-06-09T13:49:31.123418Z,2026-06-09T13:49:31.787418Z,2026-06-09T13:50:16.214899Z,0.592,45.678,2.627,166.008,156.0,250.0,18914.595,19043.448,35668.212,2157.167,1200.5,7892.15,18093.125,18514.0,34820.25,4,4,4.0,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,300,120,120,0,0,1.0,0.0,2026-06-09T13:51:16.562174Z,2026-06-09T13:51:17.009176Z,2026-06-09T13:51:18.174999Z,2026-06-09T13:52:01.967498Z,0.45,45.405,2.643,308.925,234.0,672.0,20736.486,21231.965,38136.419,2251.25,1129.0,7738.2,19747.525,20731.0,37052.65,4,4,4.0,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,400,120,120,0,0,1.0,0.0,2026-06-09T13:53:02.318130Z,2026-06-09T13:53:02.676131Z,2026-06-09T13:53:04.837309Z,2026-06-09T13:53:43.845029Z,0.361,41.527,2.89,565.8,375.0,1360.75,19076.333,19228.514,33866.794,2013.267,1208.5,6447.15,17789.375,18310.0,32109.35,4,4,4.0,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,500,120,120,0,0,1.0,0.0,2026-06-09T13:54:44.251879Z,2026-06-09T13:54:44.558881Z,2026-06-09T13:54:48.796864Z,2026-06-09T13:55:21.882814Z,0.309,37.631,3.189,585.575,508.0,860.75,19576.802,20642.801,33237.313,1918.617,1237.0,6388.8,18277.442,18891.0,32537.5,4,4,4.0,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,600,120,120,0,0,1.0,0.0,2026-06-09T13:56:22.290410Z,2026-06-09T13:56:22.525722Z,2026-06-09T13:56:24.475334Z,2026-06-09T13:56:59.018945Z,0.237,36.729,3.267,372.642,359.0,562.0,18149.121,17889.791,34004.117,1916.883,1182.5,6216.8,17060.217,17061.5,32993.9,4,4,4.0,2
426fdd7a-37cb-40d9-b4fc-e698563caa9d,workload-20260609T133920373955Z,700,120,120,0,0,1.0,0.0,2026-06-09T13:57:59.449711Z,2026-06-09T13:57:59.737711Z,2026-06-09T13:58:05.372131Z,2026-06-09T13:58:37.637927Z,0.289,38.188,3.142,596.75,500.0,859.8,19635.821,19439.902,35307.377,2044.508,1552.5,5925.8,18377.617,18462.5,33840.85,4,4,4.0,2
