TimeSeries ID,instance/network/sent_bytes_count.gce_instance.ALIGN_RATE.REDUCE_SUM.resource.type="gce_instance" AND resource.label."project_id"="fcse-25w-cc" AND metric.type="compute.googleapis.com/instance/network/sent_bytes_count" AND metadata.system_labels."instance_group"="pow-worker-mig" AND resource.label."zone" = starts_with("europe-west1-b").project_id:fcse-25w-cc
project_id,fcse-25w-cc
Tue Jun 09 2026 18:40:00 GMT+0200 (Central European Summer Time),1278.4833333333333
Tue Jun 09 2026 18:41:00 GMT+0200 (Central European Summer Time),1513.1333333333334
Tue Jun 09 2026 18:42:00 GMT+0200 (Central European Summer Time),1248.9333333333334
Tue Jun 09 2026 18:43:00 GMT+0200 (Central European Summer Time),1212.0333333333333
Tue Jun 09 2026 18:44:00 GMT+0200 (Central European Summer Time),1149.4833333333333
Tue Jun 09 2026 18:45:00 GMT+0200 (Central European Summer Time),1191.5166666666667
Tue Jun 09 2026 18:46:00 GMT+0200 (Central European Summer Time),1246.4666666666667
Tue Jun 09 2026 18:47:00 GMT+0200 (Central European Summer Time),1153.4333333333334
Tue Jun 09 2026 18:48:00 GMT+0200 (Central European Summer Time),1153.6166666666666
Tue Jun 09 2026 18:49:00 GMT+0200 (Central European Summer Time),1152.0333333333333
Tue Jun 09 2026 18:50:00 GMT+0200 (Central European Summer Time),1229.9166666666667
Tue Jun 09 2026 18:51:00 GMT+0200 (Central European Summer Time),1383.35
Tue Jun 09 2026 18:52:00 GMT+0200 (Central European Summer Time),1193.9
Tue Jun 09 2026 18:53:00 GMT+0200 (Central European Summer Time),1170.4666666666667
Tue Jun 09 2026 18:54:00 GMT+0200 (Central European Summer Time),1199.1833333333334
Tue Jun 09 2026 18:55:00 GMT+0200 (Central European Summer Time),1154.1666666666667
Tue Jun 09 2026 18:56:00 GMT+0200 (Central European Summer Time),1149.7166666666667
Tue Jun 09 2026 18:57:00 GMT+0200 (Central European Summer Time),1149.7666666666667
Tue Jun 09 2026 18:58:00 GMT+0200 (Central European Summer Time),1186.5333333333333
Tue Jun 09 2026 18:59:00 GMT+0200 (Central European Summer Time),1242.1166666666666
Tue Jun 09 2026 19:00:00 GMT+0200 (Central European Summer Time),1226.1833333333334
Tue Jun 09 2026 19:01:00 GMT+0200 (Central European Summer Time),1375.5
