experiment_id,run_label,target_rps,jobs_submitted,jobs_completed,jobs_failed,jobs_timed_out,success_rate,failed_rate,first_submission_time,last_submission_time,first_completion_time,last_completion_time,submission_duration_seconds,completion_makespan_seconds,completed_throughput_rps,avg_enqueue_time_ms,p50_enqueue_time_ms,p95_enqueue_time_ms,avg_client_end_to_end_time_ms,p50_client_end_to_end_time_ms,p95_client_end_to_end_time_ms,avg_execution_time_ms,p50_execution_time_ms,p95_execution_time_ms,avg_server_end_to_end_time_ms,p50_server_end_to_end_time_ms,p95_server_end_to_end_time_ms,min_vm_count_observed,max_vm_count_observed,avg_vm_count_observed,worker_count_per_vm
5cc31937-ef17-4e60-9511-c714cf447042,duration-workload-20260609T143813933412Z,1,5,5,0,0,1.0,0.0,2026-06-09T14:38:14.513251Z,2026-06-09T14:38:18.535708Z,2026-06-09T14:38:18.818709Z,2026-06-09T14:38:26.854643Z,5.022,12.341,0.405,134.2,140.0,140.8,6017.329,6164.766,8844.634,3060.2,707.0,7741.0,4376.4,4852.0,7999.6,1,1,1.0,2
5cc31937-ef17-4e60-9511-c714cf447042,duration-workload-20260609T143813933412Z,10,50,50,0,0,1.0,0.0,2026-06-09T14:39:27.214970Z,2026-06-09T14:39:32.130407Z,2026-06-09T14:39:32.461374Z,2026-06-09T14:40:47.520866Z,5.015,80.306,0.623,143.56,141.0,164.8,38235.48,38786.674,73353.459,2776.94,1733.5,7835.25,37404.28,38147.0,72291.85,1,2,1.4,2
5cc31937-ef17-4e60-9511-c714cf447042,duration-workload-20260609T143813933412Z,50,250,250,0,0,1.0,0.0,2026-06-09T14:41:47.830814Z,2026-06-09T14:41:52.822729Z,2026-06-09T14:41:53.382546Z,2026-06-09T14:45:58.970148Z,5.012,251.139,0.995,148.544,140.0,188.0,125603.792,123176.702,233473.416,3456.28,2376.5,10132.55,123804.356,122292.5,231818.85,2,5,2.433,2
5cc31937-ef17-4e60-9511-c714cf447042,duration-workload-20260609T143813933412Z,100,500,500,0,0,1.0,0.0,2026-06-09T14:46:59.325578Z,2026-06-09T14:47:04.312363Z,2026-06-09T14:47:05.221364Z,2026-06-09T14:48:51.570754Z,4.997,112.245,4.455,138.974,140.0,172.0,56437.522,55882.462,100520.234,1807.918,1125.5,6051.0,52952.256,52428.0,100034.8,5,5,5.0,2
5cc31937-ef17-4e60-9511-c714cf447042,duration-workload-20260609T143813933412Z,200,1000,1000,0,0,1.0,0.0,2026-06-09T14:49:51.973272Z,2026-06-09T14:49:57.031951Z,2026-06-09T14:50:10.964086Z,2026-06-09T14:53:43.579670Z,5.064,231.606,4.318,5488.666,5344.0,11720.35,128495.385,130136.196,218330.497,2079.437,1341.0,6892.8,114534.614,116035.5,204790.2,5,8,7.0,2
5cc31937-ef17-4e60-9511-c714cf447042,duration-workload-20260609T143813933412Z,300,1500,1499,1,0,0.999,0.001,2026-06-09T14:54:44.102236Z,2026-06-09T14:54:49.483290Z,2026-06-09T14:55:44.971818Z,2026-06-09T14:59:41.305605Z,5.384,297.203,5.044,16217.501,17726.0,29250.75,158973.483,159165.841,278349.885,1955.921,1237.0,6440.8,131876.15,131104.0,247721.1,7,8,7.938,2
5cc31937-ef17-4e60-9511-c714cf447042,duration-workload-20260609T143813933412Z,400,2000,2000,0,0,1.0,0.0,2026-06-09T15:00:41.963045Z,2026-06-09T15:00:48.953368Z,2026-06-09T15:01:28.563086Z,2026-06-09T15:07:03.736106Z,6.993,381.773,5.239,20301.743,20046.5,36206.15,203558.696,204099.03,357203.009,1916.104,1229.5,6137.95,163374.84,162358.5,318915.75,7,8,7.978,2
5cc31937-ef17-4e60-9511-c714cf447042,duration-workload-20260609T143813933412Z,500,2500,2500,0,0,1.0,0.0,2026-06-09T15:08:04.519153Z,2026-06-09T15:08:11.455093Z,2026-06-09T15:08:56.590106Z,2026-06-09T15:16:01.916217Z,6.938,477.397,5.237,24315.34,25515.5,40345.35,257432.554,258423.406,446403.313,1933.013,1235.5,6027.2,207734.203,204693.0,403701.5,6,8,7.964,2
